,abstract,lead_paragraph,headline,keywords,sentiment
6058,"In “Invisible Americans,” the veteran journalist Jeff Madrick lays out a simple solution to child poverty, a condition that affects 17.5 percent of this country’s kids.",INVISIBLE AMERICANS The Tragic Cost of Child PovertyBy Jeff Madrick,Dirt Poor,"['Books and Literature', 'Invisible Americans: The Tragic Cost of Child Poverty (Book)', 'Poverty', 'Children and Childhood', 'Income', 'Madrick, Jeffrey']",-0.3038987024894032
6060,This country-western parody of the operatic epic is set amid dining tables at a Manhattan barbecue restaurant.,"With its weighty music and complex symbolism; its tangled story of gods, greed and magic; and its epic length, Wagner’s “Ring” cycle has invited parodies from the start.",Valkyries Overtaken By Cowboys,"['Opera', 'Theater', 'On Site Opera', 'Wagner, Richard', 'Das Barbecu (Opera)', 'Der Ring des Nibelungen (Opera)', 'Warrender, Scott', 'Luigs, Jim']",0.0867654645656138
6061,"Companies have gotten skilled at producing topical ads. But after bungling other recent celebrity deaths, they are showing some tact this time around.","Amid the tributes to Kobe Bryant on Sunday — dedications at the Grammy Awards, condolences from presidents, messages written on the sneakers of N.B.A. players — there was a Twitter post from the blockchain company Tron Foundation.",‘It’s All Too Soon’: Brands Learn to Tread  Softly When a Star Dies,"['Bryant, Kobe', 'ADVERTISING AND MARKETING', 'Social Media', 'Celebrities', 'Tron Foundation']",0.3016177089409514
6062,Mr. Smith will leave the news organization where he has been editor in chief since 2012.,"Ben Smith, the editor in chief of BuzzFeed, who built a hard-hitting news operation within a digital media organization better known for clickbait and listicles, will be The New York Times’s next media columnist.",Top Editor at BuzzFeed Will Become Media Columnist for The Times,"['New York Times', 'BuzzFeed Inc', 'Smith, Ben E', 'News and News Media', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Writing and Writers']",0.2258108694006925
6065,Some Democratic presidential candidates have viewed an Obama-like Iowa victory as the key to helping them with black voters in other states. But the Obama campaign did a lot more than just win Iowa.,"DES MOINES — It has become political lore, repeated on cable airwaves and by Democratic campaign consultants, even presidential candidates. In 2008, as the story goes, black voters were uncertain about Barack Obama’s presidential candidacy until he won the Iowa caucuses, after which they rallied around him over the onetime front-runner, Hillary Clinton.",Obama’s 2008 Victory  Was Bigger Than Iowa,"['Presidential Election of 2020', 'Obama, Barack', 'Biden, Joseph R Jr', 'Black People', 'Primaries and Caucuses', 'Iowa']",0.2846403077597274
6066,"The N.T.S.B. has long advised installing ground warning systems on helicopters, but the aircraft carrying Mr. Bryant did not have the voluntary system.","In 2004, a helicopter flying at night over the Gulf of Mexico plunged into the water, killing all 10 people on board. Had the aircraft been equipped with a system to warn the pilots of the impending impact, the crash could have been prevented, investigators for the National Transportation Safety Board determined.",Helicopter in Deadly Accident Lacked Terrain Safety System,"['Aviation Accidents, Safety and Disasters', 'Helicopters', 'Deaths (Fatalities)', 'Regulation and Deregulation of Industry', 'National Transportation Safety Board', 'Federal Aviation Administration', 'Bryant, Kobe']",-0.015512459670031703
6067,"Joe Biden will deliver a speech on Thursday forcefully rebuking the president, whose allies in Congress have increasingly set their sights on the former vice president.","DES MOINES — Former Vice President Joseph R. Biden Jr., after coming under assault at the impeachment trial, plans on Thursday to offer a forceful rebuke of President Trump that will double as a closing message ahead of the Iowa caucuses on Monday.",Biden Readies Counterattack On President,"['Biden, Joseph R Jr', 'Presidential Election of 2020', 'United States Politics and Government', 'Trump, Donald J', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Democratic Party', 'Primaries and Caucuses', 'Ernst, Joni']",0.18336148540278033
6068,"Readers decry the secretary of state’s outburst, and one says the president, “in celebrating and congratulating him for it,” behaved even worse.",To the Editor:,Pompeo’s Rage Aimed at the NPR Reporter,"['Pompeo, Mike', 'Kelly, Mary Louise', 'National Public Radio', 'United States Politics and Government', 'Trump, Donald J']",-0.2705377819035436
6070,"New York recycles only about a fifth of its trash, lagging behind other major cities and slowing its quest to reduce waste.","If you are a New Yorker and sort your recycling at home, as city law mandates, you probably wonder, as you rinse bottles and stack junk mail and scrub yogurt containers: Does all this effort make a difference?",Why Is New York City  So Bad at Recycling?,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Compost', 'City Council (NYC)', 'Housing Authority (NYC)', 'International Brotherhood of Teamsters', 'Garcia, Kathryn', 'New York City', 'Politico, The', 'de Blasio, Bill', 'Bloomberg, Michael R']",0.047444636952744645
6072,"Under impeachment’s arcane rules, senators will submit written queries to be read aloud by the chief justice. Leaders from both parties have strategized for days about what to ask.","WASHINGTON — After six days of carefully choreographed oral arguments, President Trump’s impeachment trial is about to enter a volatile phase as senators are allowed to ask whatever they want of House prosecutors and White House lawyers.","As Trial Takes Written Questions, Spontaneity Will Move Slowly","['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'Senate', 'Cramer, Kevin', 'Durbin, Richard J', 'King, Angus Jr', 'Democratic Party', 'Republican Party', 'Blumenthal, Richard']",0.17375260025432
6073,"Michael Owen, a Prince George’s County police corporal, shot William H. Green seven times while he was handcuffed in a patrol car, the authorities said.","A police corporal in Maryland was charged with second-degree murder on Tuesday in the fatal shooting of a suspect who had been handcuffed in the front passenger seat of his patrol car the previous night, the authorities said.",Officer Is Charged With Murder in Killing of a Handcuffed Suspect,"['Police Brutality, Misconduct and Shootings', 'Murders, Attempted Murders and Homicides', ""Owen, Michael Jr (Prince George's County, Md, Police Officer)"", 'Green, William H (d 2020)', ""Prince George's County (Md)""]",-0.6416863097986417
6074,"With Republicans now unified, it is difficult to find a district where a challenger can credibly claim that the incumbent has been insufficiently supportive of the president.","DOYLESTOWN, Pa. — The scene was almost quaint, this cowboy-hatted neophyte preaching his gospel as about 15 supporters, peering out from snow-drenched hoodies, nodded along. Glimpsed from afar, it seemed a reminder that even in 2020, politics still boils down to this: small-town voters braving the elements to listen to an underdog candidate speak truth to power.",Primary Battles on the Right? They Seem Less So in Trump’s G.O.P.,"['Elections, House of Representatives', 'Republican Party', 'Primaries and Caucuses', 'Fitzpatrick, Brian K (1973- )', 'Pennsylvania', 'Bucks County (Pa)', 'Endorsements', 'Conservatism (US Politics)', 'Trump, Donald J', 'Granger, Kay', 'Riggleman, Denver', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Meehan, Andrew (1964- )']",0.18012088633376383
6076,"In “Invisible Americans,” the veteran journalist Jeff Madrick lays out a simple solution to child poverty, a condition that affects 17.5 percent of this country’s kids.",INVISIBLE AMERICANS The Tragic Cost of Child PovertyBy Jeff Madrick,Dirt Poor,"['Books and Literature', 'Invisible Americans: The Tragic Cost of Child Poverty (Book)', 'Poverty', 'Children and Childhood', 'Income', 'Madrick, Jeffrey']",-0.3038987024894032
6078,"Companies have gotten skilled at producing topical ads. But after bungling other recent celebrity deaths, they are showing some tact this time around.","Amid the tributes to Kobe Bryant on Sunday — dedications at the Grammy Awards, condolences from presidents, messages written on the sneakers of N.B.A. players — there was a Twitter post from the blockchain company Tron Foundation.",‘It’s All Too Soon’: Brands Learn to Tread  Softly When a Star Dies,"['Bryant, Kobe', 'ADVERTISING AND MARKETING', 'Social Media', 'Celebrities', 'Tron Foundation']",0.3016177089409514
6079,Mr. Smith will leave the news organization where he has been editor in chief since 2012.,"Ben Smith, the editor in chief of BuzzFeed, who built a hard-hitting news operation within a digital media organization better known for clickbait and listicles, will be The New York Times’s next media columnist.",Top Editor at BuzzFeed Will Become Media Columnist for The Times,"['New York Times', 'BuzzFeed Inc', 'Smith, Ben E', 'News and News Media', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Writing and Writers']",0.2258108694006925
6086,"“Lemmings: 21st Century,” a satire on modern festival culture, will have a two-night engagement in March.","The comedy collective the National Lampoon has announced a reboot to its 1973 Off Broadway musical “Lemmings,” which spoofed the Woodstock festival and helped kick-start the careers of several “Saturday Night Live” cast members, including John Belushi, Chevy Chase and Christopher Guest.",National Lampoon Reboots ‘Lemmings’,"['Theater', 'National Lampoon', ""Joe's Pub"", 'Television', 'Comedy and Humor', 'Lemmings: 21st Century (Play)']",0.013201447811048142
6087,Efforts to bring wavering Republicans into line appeared to be working as President Trump’s lawyers argued that anything a president did to win re-election was “in the public interest.”,"WASHINGTON — The White House and Senate Republicans worked aggressively on Wednesday to discount damaging revelations from John R. Bolton and line up the votes to block new witnesses from testifying in President Trump’s impeachment trial, in a push to bring the proceeding to a swift close.","In Rush to Acquit, G.O.P. Brushes Off Bolton’s Account","['Trump, Donald J', 'Impeachment', 'Republican Party', 'Democratic Party', 'Senate', 'House of Representatives', 'Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Bolton, John R', 'McConnell, Mitch', 'United States Politics and Government']",0.06482465639381602
6088,"A New York nonprofit called Childrens Community Services was raided by the authorities, officials said.",One company was supposedly based in a vacant house in New Jersey. Another company had no office; its address was a post office box inside a shipping store in Nassau County. A third operated out of a Harlem apartment.,"$500 Million in Contracts to Help the Homeless, and New York Charges Fraud","['Homeless Persons', 'Nonprofit Organizations', 'Suits and Litigation (Civil)', 'Frauds and Swindling', 'Homeless Services Department (NYC)', 'New York City', 'Childrens Community Services']",-0.2271800559165078
6089,"Bryant’s fans channeled his tenacious persona to defend him against criticisms, big and small, and to proclaim his superiority over all other superstars.","The mention of Kobe Bryant could instantly start a fight, whether in a bar with friends or a in far-flung corner of the internet.",Fans as Relentless as the Player They Adored,"['Bryant, Kobe', 'Basketball', 'Los Angeles Lakers', 'National Basketball Assn', 'Social Media']",0.38611435853509135
6092,"The group that hosted the event last month in Cleveland is run by a prominent black ally of the president, and it promoted Trump administration policies while doling out cash prizes.",WASHINGTON — A nonprofit organization run by one of President Trump’s most prominent African-American allies recently held an event in a black community where it promoted Trump administration policies like criminal justice reform while doling out cash prizes to participants.,Trump Ally Organized Event Handing Out Cash in a Black Community,"['Trump, Donald J', 'Black People', 'Presidential Election of 2020', 'Campaign Finance', 'Cleveland (Ohio)', 'Race and Ethnicity', 'Urban Revitalization Coalition', 'Scott, Darell C']",0.16750674535429924
6093,"The singer and fashion mogul is ready to talk about sexual abuse, addiction, dating John Mayer and everything else.","HIDDEN HILLS, Calif. — On a top shelf of a built-in bookcase in a dark and donnish study of a home here sit several copies — some first editions — of a story about chasing stardom. It’s also a story about love versus obsession. Or maybe, most simply, it’s a rags-to-riches tale about a country kid who becomes famous in the big city.","Ready to Speak, And Then Some","['Simpson, Jessica', 'Open Book (Book)', 'Pop and Rock Music', 'Books and Literature', 'ALCOHOL ABUSE', 'Fashion and Apparel', 'Child Abuse and Neglect', 'Sex Crimes', 'your-feed-selfcare', 'your-feed-fashion']",0.20664710951950935
6094,The grounding of the 737 Max jet continues to drag on the company’s results.,"Boeing said on Wednesday that the costs associated with the grounding of the 737 Max were likely to surpass $18 billion, a significant increase over earlier forecasts.",Cost of Grounding Boeing 737 Max: Over $18 Billion,"['Boeing Company', 'Company Reports', 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'Aviation Accidents, Safety and Disasters', 'Calhoun, David L', 'AIRLINES AND AIRPLANES']",0.0034380804258977737
6095,Efforts to bring wavering Republicans into line appeared to be working as President Trump’s lawyers argued that anything a president did to win re-election was “in the public interest.”,"WASHINGTON — The White House and Senate Republicans worked aggressively on Wednesday to discount damaging revelations from John R. Bolton and line up the votes to block new witnesses from testifying in President Trump’s impeachment trial, in a push to bring the proceeding to a swift close.","In Rush to Acquit, G.O.P. Brushes Off Bolton’s Account","['Trump, Donald J', 'Impeachment', 'Republican Party', 'Democratic Party', 'Senate', 'House of Representatives', 'Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Bolton, John R', 'McConnell, Mitch', 'United States Politics and Government']",0.06482465639381602
6096,Faith in Elon Musk’s company has driven its stock to new heights. But detractors think their skepticism will be vindicated in the end.,"Tesla’s stock price has soared for months, leaving investors and analysts deeply divided over a single question: Is Tesla a bubble?",$612? $240? Bulls And Bears Explain Their Takes on Tesla,"['Stocks and Bonds', 'Electric and Hybrid Vehicles', 'Prices (Fares, Fees and Rates)', 'Tesla Motors Inc', 'Musk, Elon', 'Short Selling']",-0.04211317517371146
6102,"While the presidential candidates argue about each other’s health plans, Michael Bloomberg’s ads have attacked the president over pre-existing conditions.","It powered Democrats to recapture the House in the 2018 midterms: the fear that President Trump and Republicans would kill the Affordable Care Act and with it, protections for more than 50 million Americans with pre-existing medical conditions.",Bloomberg Ads on Health Care Hit Vulnerable Spot for Trump,"['Bloomberg, Michael R', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Democratic Party', 'Presidential Election of 2020', 'Political Advertising', 'Online Advertising', 'Trump, Donald J', 'United States Politics and Government']",0.07151906354041135
6103,"Coaches and players say Mr. Bryant, who had partnered with a sports academy, nurtured many young talents while leading his daughter Gianna’s team.","LOS ANGELES — It was an impromptu selfie, a blurry but famous face towering over the truncated image of a teenager.","Influencing Young Lives, And Thinking of Tomorrow","['Basketball', 'Bryant, Kobe', 'Los Angeles Lakers', 'Bryant, Gianna (2006-20)', 'California', 'Mamba Sports Academy', 'Aviation Accidents, Safety and Disasters']",0.5359263733479357
6104,"Also this week, African climate activists and a popular Berkeley class",Welcome to the Climate Fwd: newsletter. The New York Times climate team emails readers once a week with stories and insights about climate change. Sign up here to get it in your inbox. ,Here to Help; One Thing You Can Do to Counteract Climate Change: Make Smart Donations,"['Global Warming', 'Philanthropy', 'Humanitarian Aid', 'World Economic Forum', 'University of California, Berkeley', 'Nakate, Vanessa']",0.8003659158448427
6105,"The bass-baritone’s planned return to the company, after eight years, was canceled because of an ankle fracture.","In Wagner’s “Der Fliegende Holländer,” a bewitched sea captain is allowed to leave his ship only once every seven years, to try to break the spell that has condemned him to roam the oceans for eternity.",Bryn Terfel Has Exited The Met’s ‘Dutchman’,"['Opera', 'Metropolitan Opera', 'Terfel, Bryn', 'ANKLES (BODY PART)', 'Der Fliegende Hollander (Opera)']",0.054713313710262265
6106,"The pop singer and songwriter shared what she watched, wore, listened to and read over 48 hours.","“For me, music is mind-altering,” said the 32-year-old pop hell-raiser Kesha. “It can force me into a better mood, or it can force me into a more introspective mood when I don’t want to go there.”","Kesha on ‘Nebraska,’ ‘Space’ and Stuff in Between","['Pop and Rock Music', 'Kesha', 'High Road (Album)']",0.39435654143418863
6107,Sarah DiGregorio’s new book combines memoir and reporting to explore changing treatments for babies born early.,EARLYAn Intimate History of Premature Birth and What It Teaches Us About Being Human,Born Too Soon,"['Books and Literature', 'Premature Babies', 'DiGregorio, Sarah', 'Early: An Intimate History of Premature Birth and What It Teaches Us About Being Human (Book)']",0.30624637783322656
6111,The Senate is poised to deliver another blow to voter confidence in our system.,"The idea of America that most of us have come to embrace — that of a functioning democracy responsible and responsive to its citizens who are entitled to vote and whose votes are equal — is lost. In fact, it may never have existed in that way at all. And the trends in society are now toward the worse rather than the better.","America,  The Idea,  Is Lost","['Presidential Election of 2020', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)', 'Law and Legislation', 'Nineteenth Amendment (US Constitution)', 'Voter Registration and Requirements', 'Trump, Donald J', 'United States']",-0.04001878176203792
6112,This isn’t a break with the status quo. It’s the natural culmination of decades of American policy.,"On Tuesday, President Trump released his long-gestating plan for Middle East peace, the so-called “deal of the century.” It calls for a Palestinian state in the West Bank and Gaza; for Jerusalem, including its Old City, to be the undivided capital of Israel; and for Israel to annex all settlements, as well as the Jordan Valley — which makes up nearly a fourth of the West Bank, including its eastern border with Jordan — creating a discontiguous Palestinian archipelago state, surrounded by a sea of Israeli territory. Mr. Trump announced that the United States will recognize Israeli sovereignty over all the territory the plan assigns to Israel, and shortly after, Prime Minister Benjamin Netanyahu of Israel pledged to annex all settlements and the Jordan Valley beginning on Sunday.",A Mideast Plan and the Ugly Truth,"['Palestinians', 'Defense and Military Forces', 'Foreign Aid', 'Democratic Party', 'Palestine Liberation Organization', 'Netanyahu, Benjamin', 'Trump, Donald J', 'East Jerusalem', 'Israel', 'West Bank', 'Gaza Strip']",0.30783240402797696
6113,Why a 17-year-old is a better economist than Steve Mnuchin.,"I’ve never been a fan of Davos, that annual gathering of the rich and fatuous. One virtue of the pageant of preening and self-importance, however, is that it brings out the worst in some people, leading them to say things that reveal their vileness for all to see.",Greta Versus the Greedy Grifters,"['Greenhouse Gas Emissions', 'United States Politics and Government', 'Global Warming', 'Environment', 'Treasury Department', 'Mnuchin, Steven T', 'Thunberg, Greta', 'Trump, Donald J', 'World Economic Forum']",-0.037924033176826306
6115,The president needs to demand a commitment so he doesn’t get played.,"TEL AVIV — Given the timing of the release on Tuesday of President Trump’s Middle East peace plan, I have to begin by asking: Is this plan about two states for two peoples or is it about one diversion for two dirty leaders?",Is Trump  Bibi’s Chump?,"['Trump, Donald J', 'Israel', 'Netanyahu, Benjamin', 'Palestinians', 'Israeli Settlements', 'United States Politics and Government', 'Middle East', 'West Bank', 'United States International Relations']",-0.1082508334365758
6116,Politics is about getting power to enact an agenda. And the only way to do that is face-to-face organizing.,"In religion and in politics, participants come together in communities to serve a higher purpose. They worship together to serve God. They join advocacy groups and political party committees to serve their civic duty.","Listen Up, Liberals: You Aren’t Doing Politics Right","['United States Politics and Government', 'Volunteers and Community Service', 'Presidential Election of 2020', 'Democratic Party', 'United States']",0.6446839257677652
6117,Who’s telling the truth about Ukraine? There’s one way to find out.,"It’s just possible that common sense and reality have a shot at prying open the doors to the Senate chamber after all. After Republican senators claimed that it was perfectly reasonable to put a United States president on trial without hearing from any witnesses, a few of them are showing signs of recognizing that the truth matters. Or, at least, that the American people believe it does.","Mr. Trump, the Truth Is Coming Out","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'United States International Relations', 'Foreign Aid', 'Senate', 'McConnell, Mitch', 'Pompeo, Mike', 'Trump, Donald J', 'Bolton, John R', 'Yovanovitch, Marie L', 'The Room Where It Happened: A White House Memoir (Book)']",0.19386861664574412
6118,The transformation of medieval honey wine from Renaissance Fair to New York’s next cool drink.,"Honey’s, the taproom at Enlightenment Wines Meadery in Bushwick, was almost full on a recent Saturday night despite the cold and snowy weather. Patrons sat comfortably at booths, and squeezed into seats at the bar drinking medieval honey wine, or mead. In the production area behind the bar, next to the fermentation tanks and oak barrels, there was a poetry reading.","Mead, the Next Cool Drink","['ALCOHOLIC BEVERAGES', 'Wines', 'All-Wise Meadery (Brooklyn, NY)']",0.4391437447319213
6119,The plan would discard the longtime goal of granting the Palestinians a full-fledged state. President Trump called it “a win-win” for both sides; Palestinian leaders immediately rejected it.,"WASHINGTON — President Trump on Tuesday unveiled his long-awaited Middle East peace plan with a flourish, releasing a proposal that would give Israel most of what it has sought over decades of conflict while offering the Palestinians the possibility of a state with limited sovereignty.",U.S. Unveils Plan On Mideast Peace,"['Israel', 'Palestinians', 'Israeli Settlements', 'Trump, Donald J', 'Jerusalem (Israel)', 'West Bank', 'ABBAS, MAHMOUD', 'Netanyahu, Benjamin', 'Kushner, Jared', 'United States International Relations', 'United States Politics and Government']",0.3277470133502173
6120,The fracking ban pushed by Senators Elizabeth Warren and Bernie Sanders  epitomizes a Democratic quandary: Appeal to swing voters or energize a liberal movement?,"PITTSBURGH — Though they are both Democrats, John Fetterman, Pennsylvania’s lieutenant governor, and Bill Peduto, this city’s mayor, have their differences on the environment.",Democrats’ Conundrum: Ban Fracking or Win Pennsylvania?,"['Presidential Election of 2020', 'Oil (Petroleum) and Gasoline', 'Greenhouse Gas Emissions', 'Hydraulic Fracturing', 'Pennsylvania', 'Trump, Donald J', 'United States Politics and Government', 'Democratic Party', 'Fetterman, John (1969- )', 'Peduto, Bill', 'Sanders, Bernard', 'Warren, Elizabeth']",-0.023228715890801888
6124,"In South Dakota and other states, lawmakers are considering bills that would restrict access to hormone treatment and surgeries for young transgender people.","A “bathroom bill” to regulate the restroom choice of transgender people has failed in South Dakota. So has a bill that would have required high school athletes to play on a sports team according to their sex at birth, not their gender identity.",Bill Would Limit Treatment of Transgender Teens,"['Law and Legislation', 'Teenagers and Adolescence', 'South Dakota', 'Transgender and Transsexuals']",-0.05651786599693915
6134,"After assailants fired into a car in Bridgeport, Conn., wounding four people, the police chief tied the attack to a killing the night before.","There are sensors spread across downtown Bridgeport, Conn., that can pinpoint the location of gunfire and alert the police. On Sunday night, they detected telltale crackles at an apartment building in the area.",Brazen Shooting Near Courthouse May Have Been Revenge,['Bridgeport (Conn)'],-0.30447724135928295
6135,"Kyrgios seemed more motivated than ever at this Australian Open, but it was not enough to overcome a typically dogged performance from the top-seeded Nadal.","MELBOURNE, Australia — For two men who make their living traveling to the same places and pummeling balls across the same nets, Rafael Nadal and Nick Kyrgios have long appeared to have little in common.",Kyrgios Falls to Nadal After a Dazzling Display of Different Styles,"['Tennis', 'Australian Open (Tennis)', 'Kyrgios, Nick', 'Nadal, Rafael']",0.07542195470302265
6136,The new installation of a comedy series is on TBS. And an Israeli documentary is available to rent.,"MIRACLE WORKERS: DARK AGES 10:30 p.m. on TBS. This strange comedy starring Daniel Radcliffe and Steve Buscemi is back for a new season, though the only elements that remain the same are the cast. This installment is an anthology, and it poses a contrast to the original “Miracle Workers” series, which was set in heaven with Radcliffe as an angel and Buscemi as God. Now, Radcliffe is Prince Chauncley, the simple-minded son of great tyrant who, as Chauncley points out, could probably benefit from anger-management therapy. The rest of the cast members return as medieval villagers who are trying to navigate life in a time of great ignorance, where, as the one of the characters is taught in school, “The Earth is flat, the devil is real, and that is everything that we know.”",What’s On Tuesday,"['Television', 'Movies']",0.04523073571050582
6137,"With public fury rising, the government acted on several fronts to show resolve in the face of the gravest political crisis in years.","WUHAN, China — The Chinese government scrambled to contain not only the coronavirus epidemic but also growing expressions of public fury over the management of the crisis as the death toll rose on Tuesday to at least 106.",Chinese Officials Race to Contain Public Fury Over Virus Management,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Lunar New Year', 'Social Media', 'China Central Television', 'Communist Party of China', 'Li Keqiang', 'Xi Jinping']",-0.3634870853231101
6138,"As the liberal Bernie Sanders tightens his grip in Iowa, more traditional Democrats remain split among his four leading competitors, or are unsure altogether of whom to support.","BETTENDORF, Iowa — As they streamed out of the ballroom following a Scott County fund-raising banquet Saturday night, one after the other Iowa Democrats admitted that they still had not decided whom to support just over a week before the state’s presidential caucuses.","Iowa Moderates Are Split, But They Agree on This: They Don’t Want Sanders","['Presidential Election of 2020', 'Primaries and Caucuses', 'Polls and Public Opinion', 'Democratic Party', 'Biden, Joseph R Jr', 'Bloomberg, Michael R', 'Buttigieg, Pete (1982- )', 'Klobuchar, Amy', 'Sanders, Bernard', 'Vilsack, Tom', 'Warren, Elizabeth', 'Iowa']",0.47232227494453866
6141,Hong Kong announced the shutdown of major rail passenger links and limits on flights coming from the mainland. China will stop issuing visas for individual travelers to the territory.,"HONG KONG — The two Hong Kong protesters were dressed head to toe in black, their faces covered in masks. They smashed their Molotov cocktails into the lobby of a public housing estate, and flames and smoke began spewing out.",Virus Fears Put a Fractured Hong Kong on Edge,"['Coronavirus (2019-nCoV)', 'Hong Kong', 'China', 'Lam, Carrie (1957- )', 'Politics and Government', 'Hong Kong Protests (2019)', 'Epidemics']",-0.7482109403763815
6143,"After a tough few years, the bank is hoping its first “investor day” on Wednesday will help it return to Wall Street favor.",Goldman Sachs is going to do something unusual this week: talk openly with investors.,"Goldman, Trying Something New, Opens Up","['Goldman Sachs Group Inc', 'Banking and Financial Institutions', 'Blankfein, Lloyd C', 'Cohn, Gary D', 'Corzine, Jon S', 'Paulson, Henry M Jr', 'Solomon, David M', 'Rubin, Robert E']",0.6205311241915634
6144,A company wants to build a geothermal plant in Umbria. Locals — and celebrities who live there — don’t want it.,"CASTEL GIORGIO, ITALY — Fausto Carotenuto, the owner of a spiritual wellness and yoga center in Umbria, the ancient Etruscan heartland of Italy, senses bad energy underfoot. A geothermal company wants to build a plant on a fallow field near his land. He envisions apocalyptic consequences if he and his allies fail to stop it.",An Elite Outcry: Not in My Unspoiled Paradise,"['Geothermal Power', 'Italy', 'Enel SpA', 'Politics and Government', 'Conflicts of Interest', 'Rohrwacher, Alice', 'Nossiter, Jonathan', 'Michele, Alessandro', 'Suits and Litigation (Civil)']",0.020086258668403592
6145,Interventions in Justice Department proceedings draw scrutiny after the former national security adviser raised concerns about the president’s embrace of authoritarian leaders.,"WASHINGTON — It was late 2018, and President Recep Tayyip Erdogan of Turkey was on the phone with an unusual request for President Trump: Could he intervene with top members of his cabinet to curb or even shut down a criminal investigation into Halkbank, one of Turkey’s largest state-owned banks?",Bolton’s Book Suggests Trump Helped Erdogan and Xi,"['United States Politics and Government', 'United States International Relations', 'Embargoes and Sanctions', 'Presidential Election of 2020', 'Politics and Government', 'Halkbank', 'ZTE Corp', 'Treasury Department', 'Trump, Donald J', 'Bolton, John R', 'Barr, William P', 'Mnuchin, Steven T', 'Ross, Wilbur L Jr', 'Turkey', 'China', 'Erdogan, Recep Tayyip', 'Xi Jinping', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",0.2300916252349348
6146,"Rhiannon Giddens, Jordi Savall, Yannick Nézet-Séguin and Andrew Norman are among the featured artists.","The classical music world has been changing, and some of those shifts will be felt at Carnegie Hall.",Looking Ahead at Carnegie Hall,"['Classical Music', 'Music', 'Carnegie Hall', 'Lady Macbeth of Mtsensk (Opera)', 'Abrams, Teddy', 'Currentzis, Teodor I', 'Dudamel, Gustavo', 'Davidsen, Lise', 'Giddens, Rhiannon', 'Grazinyte-Tyla, Mirga (1986- )', 'Meier, Waltraud', 'Nezet-Seguin, Yannick', 'Norman, Andrew (1979- )', 'Padmore, Mark', 'Petrenko, Kirill (1972- )', 'Savall, Jordi', 'Sidorova, Ksenija', 'Uchida, Mitsuko', 'Tharaud, Alexandre']",0.15703396135727204
6148,"Prime Minister Benjamin Netanyahu said his government would effectively annex nearly a third of the occupied West Bank, with U.S. approval.",JERUSALEM — The only immediate consequence of the Trump peace plan — and possibly all that will ever come of it — was the green light President Trump gave to Israel Tuesday to expand its territory by effectively annexing vast stretches of land it has long coveted on the West Bank.,Israel Plans to Claim Sovereignty Over Part of West Bank,"['Palestinians', 'Defense and Military Forces', 'Netanyahu, Benjamin', 'Trump, Donald J', 'Israel', 'Jerusalem (Israel)', 'Jordan', 'West Bank']",0.0025072629786882456
6149,"The Kremlin is increasing arms sales, security pacts and training programs as the American defense secretary weighs withdrawing troops from the continent.","WASHINGTON — Nearly 200 Russian mercenaries have deployed in recent months to Mozambique to combat a growing Islamic State offshoot there, even as Moscow is taking initial steps toward building a military port in the Horn of Africa that could become Russia’s first permanent base on the continent.","Russia Projects Increasing Influence in Africa, Worrying the West","['United States Defense and Military Forces', 'AFRICA', 'Russia', 'Mercenaries and Private Military Contractors', 'United States Africa Command', 'China', 'Mozambique', 'Central African Republic', 'AL QAEDA', 'Islamic State in Iraq and Syria (ISIS)', 'Esper, Mark T', 'Putin, Vladimir V']",-0.12939393348797826
6150,Rafael Ruiz always maintained he did not take part in a gang rape in 1984.,"Four times, Rafael Ruiz recalled, he rejected offers from New York prosecutors to enter a guilty plea and admit to participating in a gang rape on a Harlem rooftop in 1984, even though it would have meant serving much less time. He was under arrest but he had good reason for turning down the deals.","Sweet Justice, 25 Years Too Late, for Man Who Served Full Sentence","['False Arrests, Convictions and Imprisonments', 'Innocence Project', 'East Harlem (Manhattan, NY)']",0.35977518741826264
